id,picking_slip_id,printed_username,inspected_username,packed_username,shipped_username,held_username,cancelled_username,refunded_username,confirmed_username,printed_at,inspected_at,packed_at,shipped_at,delivered_at,returned_at,cancelled_at,refunded_at,held_at,confirmed_at,held_reason
1413,1413,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-30 09:45:49,2023-01-30 09:46:06,2023-01-30 09:46:20,2023-01-30 09:46:50,,,,,,,
1414,1414,kay_(65298),chloe93(12810),chloe93(12810),,,,,,2023-02-20 02:22:44,2023-02-22 05:49:45,2023-02-22 05:49:45,2023-02-27 07:02:10,2022-12-21 15:38:00,,,,,,
1415,1415,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-30 10:01:50,2023-01-30 10:03:12,2023-01-30 10:08:06,2023-01-30 10:10:34,,,,2023-02-02 06:31:54,,,
1416,1416,ming(835),ming(835),ming(835),,,,,,2023-03-22 10:49:37,2023-03-22 10:49:42,2023-03-22 10:49:42,2023-03-27 13:35:51,,,,,,,
1417,1417,chloe93(12810),Bern(25814),Bern(25814),,,,,,2023-02-22 05:42:33,2023-02-22 06:09:25,2023-02-22 06:09:25,2023-02-27 07:02:10,2022-12-22 10:07:00,,,,,,
1418,1418,chloe93(12810),kay_(65298),kay_(65298),,,,,,2023-02-09 02:46:17,2023-02-17 07:20:47,2023-02-17 07:20:47,2023-02-27 07:02:10,,,,,,,
1419,1419,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-08 06:55:18,2023-02-08 06:59:18,2023-02-08 06:59:18,2023-02-27 08:38:49,,,,,,,
1420,1420,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-09 02:46:17,2023-02-21 09:01:26,2023-02-21 09:01:48,2023-02-27 07:02:10,,,,,,,
1421,1421,masonchoi(66367),,,,,,,,2023-04-18 05:11:06,,,,,,,,,,
1428,1428,masonchoi(66367),,,,,,,,2023-04-18 05:11:06,,,,,,,,,,
1429,1429,kay_(65298),,ming(835),kay,,,,,2023-02-07 14:00:16,2023-02-07 16:14:36,2023-02-07 10:01:36,2023-02-27 08:36:24,,,,,,,
1430,1430,kay_(65298),,ming(835),kay,,,,,2023-02-07 14:00:16,2023-02-07 16:14:36,2023-02-07 10:01:37,2023-02-27 08:36:24,,,,,,,
1431,1431,masonchoi(66367),,kay_(65298),,,,,,2023-04-18 05:11:06,,,,,,,,,,
1432,1432,masonchoi(66367),,kay_(65298),,,,,,2023-04-18 05:11:06,,,,,,,,,,
1433,1433,kay_(65298),,ming(835),kay,,,,,2023-02-07 14:00:16,2023-02-07 16:14:36,2023-02-07 10:01:37,2023-02-27 08:36:24,,,,,,,
1434,1434,kay_(65298),,ming(835),kay,,,,,2023-02-07 14:00:16,2023-02-07 16:14:36,2023-02-07 10:01:37,2023-02-27 08:36:24,,,,,,,
1435,1435,,,ming(835),,,,,,,2023-02-07 16:14:36,2023-02-07 10:01:37,2023-02-27 08:38:49,,,,,,,
1436,1436,kay_(65298),,ming(835),,,,,,2023-02-07 14:00:16,2023-02-07 16:14:36,2023-02-07 10:01:37,,,,,,,,
1437,1437,kay_(65298),,ming(835),,,,,,2023-02-07 14:00:16,2023-02-07 16:14:36,2023-02-07 10:01:37,2023-02-27 07:02:10,,,,,,,
1438,1438,kay_(65298),,ming(835),,,,,,2023-02-07 14:00:16,2023-02-07 16:14:36,2023-02-07 10:01:37,2023-02-27 08:38:49,,,,,,,
1439,1439,,,,,,,,,,,,,,,,,,,
1440,1440,Sun Kim(76203),,,,,,,,2023-11-20 04:29:09,,,,,,,,,,
1441,1441,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-22 05:42:43,2023-02-22 05:49:17,2023-02-22 05:49:17,2023-02-27 07:02:10,2022-12-21 11:35:00,,,,,,
1442,1442,masonchoi(66367),,,,,,,,2023-04-18 05:11:06,,,,,,,,,,
1452,1452,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-21 06:02:30,2023-02-21 06:03:20,2023-02-21 06:03:20,2023-02-27 07:02:10,,,,,,,
1461,1461,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-08 06:55:18,2023-02-08 06:59:22,2023-02-08 06:59:22,2023-02-27 08:38:49,,,,,,,
1462,1462,masonchoi(66367),,,,,,,,2023-04-18 05:11:06,,,,,,,,,,
1463,1463,ming(835),ming(835),ming(835),,,,,,2023-03-22 10:49:37,2023-03-22 10:49:42,2023-03-22 10:49:42,2023-03-24 06:42:49,,,,,,,
1464,1464,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-09 02:46:17,2023-02-21 09:01:39,2023-02-21 09:01:48,2023-02-27 07:02:10,,,,,,,
1465,1465,kay,kay_(65298),kay_(65298),,,,,,2023-02-17 06:12:04,2023-02-17 07:20:47,2023-02-17 07:20:47,2023-02-27 07:02:10,,,,,,,
1466,1466,,,,,,,,,,,,,,,,,,,
1467,1467,chloe93(12810),chloe93(12810),kay_(65298),,,,,,2023-02-08 02:41:49,2023-02-08 02:47:29,2023-02-08 06:55:13,2023-02-09 04:46:01,,,,,,,
1468,1468,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-21 06:02:30,2023-02-21 06:03:20,2023-02-21 06:03:20,2023-04-17 06:55:49,,,,,,,
1469,1469,chloe93(12810),chloe93(12810),kay_(65298),,,,,,2023-02-08 02:41:49,2023-02-08 02:47:39,2023-02-08 06:53:26,2023-02-09 04:46:01,,,,,,,
1470,1470,masonchoi(66367),,,,,,,,2023-04-18 05:11:06,,,,,,,,,,
1471,1471,,,,,chloe93(12810),,,,,,,,,,,2023-02-08 07:14:25,2023-02-08 07:11:06,,refund
1472,1472,masonchoi(66367),,,,,,,,2023-04-18 05:11:06,,,,,,,,,,
1473,1473,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-21 06:02:30,2023-02-21 06:03:20,2023-02-21 06:03:20,2023-04-17 06:55:49,,,,,,,
1474,1474,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-13 01:21:34,2023-02-13 01:21:46,2023-02-13 01:21:46,2023-02-27 08:38:49,,,,,,,
1475,1475,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-08 07:38:39,2023-02-08 07:39:04,2023-02-08 07:43:59,2023-02-09 04:46:01,2023-02-08 14:42:27,,,,,,
1476,1476,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-21 06:02:30,2023-02-21 06:03:20,2023-02-21 06:03:20,2023-04-17 06:55:49,,,,,,,
1477,1477,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-08 07:38:39,2023-02-08 07:39:19,2023-02-08 08:19:45,2023-02-09 04:46:01,2023-02-08 14:30:48,,,,,,
1478,1478,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-08 07:38:39,2023-02-08 07:39:28,2023-02-08 07:43:59,2023-02-09 04:46:01,,,,,,,
1479,1479,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-08 07:42:18,2023-02-08 07:42:31,2023-02-08 07:43:59,2023-02-09 04:46:01,,,,,,,
1480,1480,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-21 06:00:08,2023-02-21 06:00:32,2023-02-21 06:00:32,2023-04-17 06:55:49,,,,,,,
1481,1481,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-09 04:42:31,2023-02-09 04:43:44,2023-02-09 04:45:33,2023-02-09 04:46:01,2023-02-14 00:48:38,,,,,,
1482,1482,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-09 04:42:31,2023-02-09 04:43:52,2023-02-09 04:45:33,2023-02-09 04:46:01,2023-02-09 20:26:19,,,,,,
1483,1483,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-09 04:42:31,2023-02-09 04:44:01,2023-02-09 04:45:33,2023-02-09 04:46:01,2023-02-09 00:34:33,,,,,,
1484,1484,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-21 09:22:26,2023-02-21 09:23:37,2023-02-21 09:23:37,2023-02-27 08:38:49,,,,,,,
1485,1485,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-22 05:45:00,2023-02-22 05:44:38,2023-02-22 05:44:38,2023-04-17 06:55:49,,,,,,,
1486,1486,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-22 05:45:00,2023-02-22 05:44:38,2023-02-22 05:44:38,2023-04-17 06:55:49,,,,,,,
1487,1487,masonchoi(66367),,,,,,,,2023-04-18 05:11:06,,,,,,,,,,
1488,1488,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-21 09:03:05,2023-02-21 09:03:47,2023-02-21 09:03:47,2023-02-27 08:38:49,,,,,,,
1489,1489,,,,,,,,,,,,,,,,,,,
1490,1490,chloe93(12810),,,,,,,,2023-02-10 09:11:22,,,,,,,,,,
1491,1491,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-10 09:11:15,2023-02-10 09:14:03,2023-02-10 09:14:23,,,,,2023-02-10 09:12:11,,,
1492,1492,masonchoi(66367),,,,,,,,2023-04-18 05:11:06,,,,,,2023-02-13 01:48:56,,,,
1501,1501,kay_(65298),,,,,,,,2023-03-10 11:01:43,,,,,,,,,,
1502,1502,,,,,,,,,,,,,,,,,,,
1503,1503,Anj(37711),Anj(37711),,,Anj(37711),,,,2023-02-15 09:26:56,2023-02-15 09:28:24,,,,,,2023-02-15 09:31:46,2023-02-15 09:29:18,,refund
1504,1504,chloe93(12810),Bern(25814),Bern(25814),,,,,,2023-02-22 05:45:00,2023-02-22 05:57:40,2023-02-22 05:57:40,2023-04-17 06:55:49,,,,,,,
1505,1505,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-21 09:03:05,2023-02-21 09:03:47,2023-02-21 09:03:47,2023-02-27 07:02:10,,,,,,,
1506,1506,masonchoi(66367),,,,,,,,2023-04-18 05:11:06,,,,,,,,,,
1507,1507,chloe93(12810),,,,,,,,2023-02-22 06:08:21,,,,,,,,,,
1508,1508,,,,,,,,,,,,,,,,,,,
1509,1509,,,,,,,,,,,,,,,,,,,
1510,1510,,,,,,,,,,,,,,,,,,,
1511,1511,,,,,,,,,,,,,,,,,,,
1512,1512,,,,,,,,,,,,,,,,,,,
1513,1513,,,,,,,,,,,,,,,,,,,
1514,1514,,,,,,,,,,,,,,,,,,,
1515,1515,,,,,,,,,,,,,,,,,,,
1518,1518,,,,,,,,,,,,,,,,,,,
1519,1519,,,,,,,,,,,,,,,,,,,
1520,1520,ming(835),,,,,,,,2023-02-22 02:18:12,,,,,,,,,,
1521,1521,,,,,,,,,,,,,,,,,,,
1522,1522,Anj(37711),Anj(37711),Anj(37711),,,,,,2023-03-02 07:54:35,2023-03-02 07:55:04,2023-03-02 08:19:03,2023-04-11 08:27:00,2023-01-27 18:49:00,,,,,,
1523,1523,Anj(37711),Anj(37711),Anj(37711),,,,,,2023-02-21 05:19:43,2023-02-21 09:25:44,2023-03-02 06:54:41,2023-03-16 06:50:53,2023-01-27 13:14:00,,,,,,
1524,1524,ming(835),ming(835),ming(835),kay,,,,,2023-02-22 06:57:59,2023-02-22 06:54:55,2023-02-22 06:57:42,2023-02-27 08:36:24,,,,,,,
1525,1525,Anj(37711),,,,,,,,2023-02-23 15:26:47,,,,,,,,,,
1526,1526,,,,,,,,,,,,,,,,,,,
1527,1527,chloe93(12810),ming(835),ming(835),,,,,,2023-02-22 09:19:00,2023-03-23 08:48:33,2023-03-23 08:48:33,2023-03-24 06:42:49,,,,,,,
1528,1528,,,,,,,,,,,,,,,,,,,
1529,1529,Anj(37711),Anj(37711),Anj(37711),,,,,,2023-03-03 04:36:57,2023-03-03 04:37:15,2023-03-03 04:37:37,2023-03-03 04:38:49,,,,,,,
1530,1530,,,,,,,,,,,,,,,,,,,
